Uniprot_ID	error_type	detail
A0A068MVV3	empty_fasta	/home/q/gen-ai/data/raw/uniprot/A0A068MVV3.fasta
A0A0H3LBR3	empty_fasta	/home/q/gen-ai/data/raw/uniprot/A0A0H3LBR3.fasta
A0A936SUR2	empty_fasta	/home/q/gen-ai/data/raw/uniprot/A0A936SUR2.fasta
A3RMR8	empty_fasta	/home/q/gen-ai/data/raw/uniprot/A3RMR8.fasta
A4L7I2	empty_fasta	/home/q/gen-ai/data/raw/uniprot/A4L7I2.fasta
A4L7I4	empty_fasta	/home/q/gen-ai/data/raw/uniprot/A4L7I4.fasta
Q2JIZ5	empty_fasta	/home/q/gen-ai/data/raw/uniprot/Q2JIZ5.fasta
Q6UNL8	empty_fasta	/home/q/gen-ai/data/raw/uniprot/Q6UNL8.fasta
Q7Y1A0	empty_fasta	/home/q/gen-ai/data/raw/uniprot/Q7Y1A0.fasta
Q85258	empty_fasta	/home/q/gen-ai/data/raw/uniprot/Q85258.fasta
